PLAYER_ID,PLAYER_NAME,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,DRAFT_YEAR,SEASON_1
1630639,A.J. Lawson,23.0,78,179,Undrafted,2024
1631260,AJ Green,24.0,76,190,Undrafted,2024
1631100,AJ Griffin,20.0,78,220,2022,2024
203932,Aaron Gordon,28.0,80,235,2014,2024
1628988,Aaron Holiday,27.0,72,185,2018,2024
1630174,Aaron Nesmith,24.0,78,215,2020,2024
1630598,Aaron Wiggins,25.0,77,190,2021,2024
1641745,Adam Flagler,24.0,75,180,Undrafted,2024
1641766,Adama Sanogo,22.0,81,245,Undrafted,2024
1629678,Admiral Schofield,27.0,77,241,2019,2024
201143,Al Horford,38.0,81,240,2007,2024
202692,Alec Burks,32.0,77,214,2011,2024
1630197,Aleksej Pokusevski,22.0,84,210,2020,2024
1627936,Alex Caruso,30.0,77,186,Undrafted,2024
1641788,Alex Fudge,21.0,80,200,Undrafted,2024
203458,Alex Len,31.0,84,250,2013,2024
1631214,Alondes Williams,25.0,76,210,Undrafted,2024
1630578,Alperen Sengun,21.0,83,243,2021,2024
1641735,Amari Bailey,20.0,75,185,2023,2024
1641708,Amen Thompson,21.0,79,200,2023,2024
1629599,Amir Coffey,27.0,79,210,Undrafted,2024
203083,Andre Drummond,30.0,83,279,2012,2024
1641748,Andre Jackson Jr.,22.0,78,209,2023,2024
1641847,Andrew Funk,24.0,77,200,Undrafted,2024
1629614,Andrew Nembhard,24.0,76,191,2022,2024
203952,Andrew Wiggins,29.0,79,197,2014,2024
1629014,Anfernee Simons,25.0,75,193,2018,2024
1641710,Anthony Black,20.0,79,200,2023,2024
203076,Anthony Davis,31.0,82,253,2012,2024
1630162,Anthony Edwards,22.0,76,225,2020,2024
1630264,Anthony Gill,31.0,80,230,Undrafted,2024
1629717,Armoni Brooks,26.0,75,195,2019,2024
1630204,Ashton Hagans,24.0,75,190,Undrafted,2024
1641709,Ausar Thompson,21.0,78,205,2023,2024
1630559,Austin Reaves,26.0,77,197,Undrafted,2024
1630245,Ayo Dosunmu,24.0,77,200,2021,2024
1628389,Bam Adebayo,26.0,81,255,2017,2024
1641767,Ben Sheppard,22.0,78,190,2023,2024
1627732,Ben Simmons,27.0,82,240,2016,2024
1631097,Bennedict Mathurin,22.0,77,210,2022,2024
1641731,Bilal Coulibaly,19.0,80,195,2023,2024
202687,Bismack Biyombo,31.0,80,255,2011,2024
1631104,Blake Wesley,21.0,75,185,2022,2024
1626246,Boban Marjanovic,35.0,88,290,Undrafted,2024
1626171,Bobby Portis,29.0,82,250,2015,2024
203992,Bogdan Bogdanović,31.0,77,225,2014,2024
202711,Bojan Bogdanovic,35.0,79,226,2011,2024
1629626,Bol Bol,24.0,87,220,2019,2024
1630538,Bones Hyland,23.0,74,169,2021,2024
203078,Bradley Beal,31.0,76,207,2012,2024
1641764,Brandin Podziemski,21.0,76,205,2023,2024
1630527,Brandon Boston,22.0,78,188,2021,2024
1629634,Brandon Clarke,27.0,80,215,2019,2024
1627742,Brandon Ingram,26.0,80,190,2016,2024
1641706,Brandon Miller,21.0,79,200,2023,2024
1630314,Brandon Williams,24.0,73,190,Undrafted,2024
1630296,Braxton Key,27.0,80,225,Undrafted,2024
1641729,Brice Sensabaugh,20.0,77,235,2023,2024
201572,Brook Lopez,36.0,85,282,2008,2024
1628971,Bruce Brown,27.0,76,202,2018,2024
1628981,Bruno Fernando,25.0,81,240,2019,2024
1631121,Bryce McGowens,21.0,78,175,2022,2024
1631205,Buddy Boeheim,24.0,77,205,Undrafted,2024
1627741,Buddy Hield,31.0,76,220,2016,2024
203468,CJ McCollum,32.0,75,190,2013,2024
1630595,Cade Cunningham,22.0,78,220,2021,2024
1631216,Caleb Houstan,21.0,80,205,2022,2024
1628997,Caleb Martin,28.0,77,205,Undrafted,2024
1629629,Cam Reddish,24.0,79,217,2019,2024
1630560,Cam Thomas,22.0,75,210,2021,2024
1641715,Cam Whitmore,19.0,79,230,2023,2024
1629661,Cameron Johnson,28.0,80,210,2019,2024
1626166,Cameron Payne,29.0,75,183,2015,2024
1627747,Caris LeVert,29.0,78,205,2016,2024
1641717,Cason Wallace,20.0,75,195,2023,2024
1626224,Cedi Osman,29.0,79,230,2015,2024
1629646,Charles Bassey,23.0,82,230,2021,2024
1629718,Charlie Brown Jr.,27.0,78,199,Undrafted,2024
1631096,Chet Holmgren,22.0,85,208,2022,2024
1629002,Chimezie Metu,27.0,82,225,2018,2024
1628449,Chris Boucher,31.0,81,200,Undrafted,2024
1630537,Chris Duarte,27.0,77,190,2021,2024
1641753,Chris Livingston,20.0,78,220,2023,2024
101108,Chris Paul,39.0,72,175,2005,2024
1631128,Christian Braun,23.0,78,220,2022,2024
1626174,Christian Wood,28.0,80,214,Undrafted,2024
1629643,Chuma Okeke,25.0,79,229,2019,2024
203991,Clint Capela,30.0,82,256,2014,2024
1629632,Coby White,24.0,77,195,2019,2024
1628998,Cody Martin,28.0,78,205,2019,2024
203469,Cody Zeller,31.0,83,240,2013,2024
1641732,Colby Jones,22.0,78,207,2023,2024
1630175,Cole Anthony,24.0,74,185,2020,2024
1631306,Cole Swider,25.0,80,220,Undrafted,2024
1630658,Colin Castleton,24.0,82,250,Undrafted,2024
1631221,Collin Gillespie,25.0,73,195,Undrafted,2024
1629012,Collin Sexton,25.0,75,190,2018,2024
1630557,Corey Kispert,25.0,78,224,2021,2024
202709,Cory Joseph,32.0,74,200,2011,2024
1641854,Craig Porter Jr.,24.0,73,180,Undrafted,2024
1626156,D'Angelo Russell,28.0,75,193,2015,2024
1641793,D'Moi Hodge,25.0,75,188,Undrafted,2024
1630618,D.J. Carton,23.0,75,200,Undrafted,2024
1628391,D.J. Wilson,28.0,82,231,2017,2024
1629610,DaQuan Jeffries,26.0,77,222,Undrafted,2024
1630227,Daishen Nix,22.0,75,226,Undrafted,2024
1630625,Dalano Banton,24.0,80,204,2021,2024
1631207,Dalen Terry,21.0,79,195,2022,2024
1627745,Damian Jones,29.0,82,245,2016,2024
203081,Damian Lillard,33.0,74,195,2012,2024
1629655,Daniel Gafford,25.0,82,234,2019,2024
1628464,Daniel Theis,32.0,80,245,Undrafted,2024
201568,Danilo Gallinari,35.0,82,236,2008,2024
201980,Danny Green,37.0,78,215,2009,2024
203957,Danté Exum,28.0,77,214,2014,2024
