PLAYER_ID,PLAYER_NAME,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,DRAFT_YEAR,SEASON_1
243,Aaron McKie,34.0,77,209,1994,2011
1425,Aaron Williams,35.0,81,235,Undrafted,2011
200747,Adam Morrison,22.0,80,205,2006,2011
1502,Adonal Foyle,32.0,82,270,1997,2011
1559,Adrian Griffin,32.0,77,230,Undrafted,2011
1733,Al Harrington,27.0,81,245,1998,2011
2744,Al Jefferson,22.0,82,256,2004,2011
101187,Alan Anderson,24.0,78,220,Undrafted,2011
673,Alan Henderson,34.0,81,240,1995,2011
200792,Alexander Johnson,24.0,81,240,2006,2011
200810,Allan Ray,23.0,74,190,Undrafted,2011
947,Allen Iverson,32.0,72,165,1996,2011
297,Alonzo Mourning,37.0,82,261,1992,2011
1541,Alvin Williams,32.0,77,195,1997,2011
2405,Amar'e Stoudemire,24.0,82,245,2002,2011
101161,Amir Johnson,20.0,81,210,2005,2011
2760,Anderson Varejao,24.0,82,240,2004,2011
101154,Andray Blatche,20.0,83,248,2005,2011
2857,Andre Barrett,25.0,70,173,Undrafted,2011
2810,Andre Brown,26.0,81,245,Undrafted,2011
2738,Andre Iguodala,23.0,78,207,2004,2011
1889,Andre Miller,31.0,74,200,1999,2011
200745,Andrea Bargnani,21.0,84,250,2006,2011
2601,Andreas Glyniadakis,25.0,85,280,2003,2011
1905,Andrei Kirilenko,26.0,81,227,1999,2011
2804,Andres Nocioni,27.0,79,225,Undrafted,2011
101106,Andrew Bogut,22.0,84,245,2005,2011
101115,Andrew Bynum,19.0,84,275,2005,2011
2740,Andris Biedrins,21.0,83,245,2004,2011
1712,Antawn Jamison,31.0,81,235,1998,2011
1853,Anthony Carter,32.0,74,195,Undrafted,2011
1533,Anthony Johnson,32.0,75,195,1997,2011
1515,Anthony Parker,32.0,78,215,1997,2011
101194,Anthony Roberson,24.0,74,188,Undrafted,2011
952,Antoine Walker,30.0,81,245,1996,2011
101120,Antoine Wright,23.0,79,215,2005,2011
1498,Antonio Daniels,32.0,76,205,1997,2011
686,Antonio McDyess,32.0,81,245,1995,2011
1506,Austin Croshere,32.0,82,235,1997,2011
1884,Baron Davis,28.0,75,215,1999,2011
2732,Ben Gordon,24.0,75,200,2004,2011
