PLAYER_ID,PLAYER_NAME,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,DRAFT_YEAR,SEASON_1
201985,AJ Price,23.0,74,181,2009,2014
201166,Aaron Brooks,25.0,72,161,2007,2014
201189,Aaron Gray,25.0,84,270,2007,2014
201151,Acie Law,25.0,75,202,2007,2014
200747,Adam Morrison,25.0,80,205,2006,2014
1733,Al Harrington,30.0,81,250,1998,2014
201143,Al Horford,24.0,82,245,2007,2014
2744,Al Jefferson,25.0,82,265,2004,2014
201154,Al Thornton,26.0,80,220,2007,2014
201169,Alando Tucker,26.0,78,205,2007,2014
201582,Alexis Ajinca,22.0,84,220,2008,2014
947,Allen Iverson,35.0,72,165,1996,2014
202087,Alonzo Gee,23.0,78,220,Undrafted,2014
2405,Amar'e Stoudemire,27.0,82,249,2002,2014
101161,Amir Johnson,23.0,81,210,2005,2014
2760,Anderson Varejao,27.0,83,260,2004,2014
101154,Andray Blatche,23.0,83,248,2005,2014
2738,Andre Iguodala,26.0,78,207,2004,2014
1889,Andre Miller,34.0,74,200,1999,2014
200745,Andrea Bargnani,24.0,84,250,2006,2014
1905,Andrei Kirilenko,29.0,81,225,1999,2014
2804,Andres Nocioni,30.0,79,225,Undrafted,2014
101106,Andrew Bogut,25.0,84,260,2005,2014
101115,Andrew Bynum,22.0,84,285,2005,2014
2740,Andris Biedrins,24.0,83,240,2004,2014
1712,Antawn Jamison,34.0,81,235,1998,2014
1853,Anthony Carter,35.0,74,195,Undrafted,2014
1533,Anthony Johnson,35.0,75,195,1997,2014
201627,Anthony Morrow,24.0,77,210,Undrafted,2014
1515,Anthony Parker,35.0,78,215,1997,2014
201576,Anthony Randolph,20.0,82,210,2008,2014
201229,Anthony Tolliver,25.0,81,243,Undrafted,2014
101120,Antoine Wright,26.0,79,215,2005,2014
202079,Antonio Anderson,25.0,78,215,Undrafted,2014
686,Antonio McDyess,35.0,81,245,1995,2014
201167,Arron Afflalo,24.0,77,215,2007,2014
201948,Austin Daye,22.0,83,200,2009,2014
1884,Baron Davis,31.0,75,215,1999,2014
2732,Ben Gordon,27.0,75,200,2004,2014
1112,Ben Wallace,35.0,81,240,Undrafted,2014
2757,Beno Udrih,27.0,75,205,2004,2014
201628,Bobby Brown,25.0,74,175,Undrafted,2014
2250,Bobby Simmons,30.0,78,230,2001,2014
2564,Boris Diaw,28.0,80,235,2003,2014
1802,Brad Miller,34.0,84,261,Undrafted,2014
101138,Brandon Bass,25.0,80,250,2005,2014
201943,Brandon Jennings,20.0,73,169,2009,2014
200750,Brandon Roy,25.0,78,211,2006,2014
201575,Brandon Rush,24.0,78,210,2008,2014
2217,Brendan Haywood,30.0,84,263,2001,2014
2073,Brian Cardinal,33.0,80,240,2000,2014
2567,Brian Cook,29.0,81,250,2003,2014
2243,Brian Scalabrine,32.0,81,235,2001,2014
1730,Brian Skinner,34.0,81,255,1998,2014
201572,Brook Lopez,22.0,84,265,2008,2014
201957,Byron Mullens,21.0,84,275,2009,2014
201228,C.J. Watson,26.0,74,175,Undrafted,2014
101139,CJ Miles,23.0,78,227,2005,2014
201171,Carl Landry,26.0,81,248,2007,2014
2306,Carlos Arroyo,30.0,74,202,Undrafted,2014
2430,Carlos Boozer,28.0,81,266,2002,2014
2568,Carlos Delfino,27.0,78,230,2003,2014
2546,Carmelo Anthony,26.0,80,230,2003,2014
2406,Caron Butler,30.0,79,228,2002,2014
201858,Cartier Martin,25.0,79,220,Undrafted,2014
202132,Cedric Jackson,24.0,75,190,Undrafted,2014
101112,Channing Frye,27.0,83,245,2005,2014
2294,Charlie Bell,31.0,75,200,Undrafted,2014
101111,Charlie Villanueva,25.0,83,232,2005,2014
201978,Chase Budinger,22.0,79,218,2009,2014
1497,Chauncey Billups,33.0,75,202,1997,2014
2365,Chris Andersen,31.0,82,228,Undrafted,2014
2547,Chris Bosh,26.0,82,230,2003,2014
201604,Chris Douglas-Roberts,23.0,79,210,2008,2014
2768,Chris Duhon,27.0,73,190,2004,2014
201805,Chris Hunter,25.0,83,240,Undrafted,2014
2549,Chris Kaman,28.0,84,265,2003,2014
101108,Chris Paul,25.0,72,175,2005,2014
200809,Chris Quinn,26.0,74,175,Undrafted,2014
201181,Chris Richard,25.0,81,256,2007,2014
2404,Chris Wilcox,27.0,82,235,2002,2014
101236,Chuck Hayes,27.0,78,238,Undrafted,2014
1088,Chucky Atkins,35.0,71,185,Undrafted,2014
201207,Coby Karl,27.0,77,215,Undrafted,2014
201147,Corey Brewer,24.0,81,188,2007,2014
1894,Corey Maggette,30.0,78,225,1999,2014
201584,Courtney Lee,24.0,77,200,2008,2014
200783,Craig Smith,26.0,79,250,2006,2014
201571,D.J. Augustin,22.0,72,180,2008,2014
2788,DJ Mbenga,29.0,84,255,Undrafted,2014
201591,DJ White,23.0,81,251,2008,2014
201969,DaJuan Summers,22.0,80,240,2009,2014
201161,Daequan Cook,23.0,77,210,2007,2014
2563,Dahntay Jones,29.0,78,210,2003,2014
2863,Damien Wilkins,30.0,78,225,Undrafted,2014
2429,Dan Gadzuric,32.0,83,245,2002,2014
200789,Daniel Gibson,24.0,74,200,2006,2014
201568,Danilo Gallinari,21.0,82,225,2008,2014
101122,Danny Granger,27.0,80,228,2005,2014
201980,Danny Green,23.0,78,210,2009,2014
201967,Dante Cunningham,23.0,80,230,2009,2014
2443,Darius Songaila,32.0,81,248,2002,2014
2545,Darko Milicic,25.0,84,275,2003,2014
