PLAYER_ID,PLAYER_NAME,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,DRAFT_YEAR,SEASON_1
201985,AJ Price,25.0,74,185,2009,2012
201189,Aaron Gray,27.0,84,270,2007,2012
1733,Al Harrington,32.0,81,250,1998,2012
201143,Al Horford,26.0,82,250,2007,2012
2744,Al Jefferson,27.0,82,289,2004,2012
202329,Al-Farouq Aminu,21.0,81,215,2010,2012
101187,Alan Anderson,29.0,78,220,Undrafted,2012
202692,Alec Burks,20.0,78,202,2011,2012
202087,Alonzo Gee,25.0,78,219,Undrafted,2012
2405,Amar'e Stoudemire,29.0,83,260,2002,2012
101161,Amir Johnson,25.0,81,210,2005,2012
2760,Anderson Varejao,29.0,83,260,2004,2012
101154,Andray Blatche,25.0,83,260,2005,2012
2765,Andre Emmett,29.0,77,230,2004,2012
2738,Andre Iguodala,28.0,78,207,2004,2012
1889,Andre Miller,36.0,74,200,1999,2012
200745,Andrea Bargnani,26.0,84,256,2006,2012
2804,Andres Nocioni,32.0,79,225,Undrafted,2012
101106,Andrew Bogut,27.0,84,260,2005,2012
101115,Andrew Bynum,24.0,84,285,2005,2012
202726,Andrew Goudelock,23.0,75,200,2011,2012
2740,Andris Biedrins,26.0,84,242,2004,2012
1712,Antawn Jamison,36.0,81,235,1998,2012
1853,Anthony Carter,37.0,73,190,Undrafted,2012
201627,Anthony Morrow,26.0,77,210,Undrafted,2012
1515,Anthony Parker,37.0,78,210,1997,2012
201576,Anthony Randolph,22.0,83,225,2008,2012
201229,Anthony Tolliver,27.0,80,240,Undrafted,2012
202356,Armon Johnson,23.0,75,195,2010,2012
201167,Arron Afflalo,26.0,77,215,2007,2012
201948,Austin Daye,24.0,83,200,2009,2012
202340,Avery Bradley,21.0,74,180,2010,2012
1884,Baron Davis,33.0,75,212,1999,2012
2732,Ben Gordon,29.0,75,200,2004,2012
202386,Ben Uzoh,24.0,75,205,Undrafted,2012
1112,Ben Wallace,37.0,81,240,Undrafted,2012
2757,Beno Udrih,29.0,75,203,2004,2012
202687,Bismack Biyombo,19.0,81,245,2011,2012
201336,Blake Ahearn,28.0,74,190,Undrafted,2012
201933,Blake Griffin,23.0,82,251,2009,2012
2250,Bobby Simmons,32.0,78,235,2001,2012
2564,Boris Diaw,30.0,80,235,2003,2012
1802,Brad Miller,36.0,84,261,Undrafted,2012
201148,Brandan Wright,24.0,82,210,2007,2012
101138,Brandon Bass,27.0,80,250,2005,2012
201943,Brandon Jennings,22.0,73,169,2009,2012
202688,Brandon Knight,20.0,75,189,2011,2012
201575,Brandon Rush,26.0,78,225,2008,2012
2217,Brendan Haywood,32.0,84,263,2001,2012
2073,Brian Cardinal,35.0,80,240,2000,2012
2567,Brian Cook,31.0,81,250,2003,2012
2243,Brian Scalabrine,34.0,81,235,2001,2012
1730,Brian Skinner,36.0,81,255,1998,2012
201572,Brook Lopez,24.0,84,265,2008,2012
201957,Byron Mullens,23.0,84,275,2009,2012
201228,C.J. Watson,28.0,74,175,Undrafted,2012
101139,CJ Miles,25.0,78,222,2005,2012
201171,Carl Landry,28.0,81,248,2007,2012
201291,Carldell Johnson,29.0,70,180,Undrafted,2012
2430,Carlos Boozer,30.0,81,266,2002,2012
2568,Carlos Delfino,29.0,78,230,2003,2012
2546,Carmelo Anthony,28.0,80,230,2003,2012
2406,Caron Butler,32.0,79,228,2002,2012
201858,Cartier Martin,27.0,79,220,Undrafted,2012
202718,Chandler Parsons,23.0,81,227,2011,2012
101112,Channing Frye,29.0,83,245,2005,2012
202724,Charles Jenkins,23.0,75,220,2011,2012
101111,Charlie Villanueva,27.0,83,232,2005,2012
201978,Chase Budinger,24.0,79,218,2009,2012
1497,Chauncey Billups,35.0,75,210,1997,2012
2365,Chris Andersen,33.0,82,228,Undrafted,2012
2547,Chris Bosh,28.0,83,235,2003,2012
2768,Chris Duhon,29.0,73,190,2004,2012
202419,Chris Johnson,26.0,83,210,Undrafted,2012
2549,Chris Kaman,30.0,84,265,2003,2012
101108,Chris Paul,27.0,72,175,2005,2012
202698,Chris Singleton,22.0,80,230,2011,2012
2404,Chris Wilcox,29.0,82,235,2002,2012
202874,Chris Wright,23.0,80,226,Undrafted,2012
201963,Christian Eyenga,23.0,79,210,2009,2012
101236,Chuck Hayes,29.0,78,250,Undrafted,2012
202332,Cole Aldrich,23.0,83,240,2010,2012
201147,Corey Brewer,26.0,81,188,2007,2012
1894,Corey Maggette,32.0,78,225,1999,2012
202809,Cory Higgins,23.0,77,180,Undrafted,2012
202709,Cory Joseph,20.0,75,185,2011,2012
202622,Courtney Fortson,24.0,71,185,Undrafted,2012
201584,Courtney Lee,26.0,77,200,2008,2012
202342,Craig Brackins,24.0,82,230,2010,2012
200783,Craig Smith,28.0,79,265,2006,2012
201571,D.J. Augustin,24.0,72,180,2008,2012
202810,D.J. Kennedy,22.0,77,214,Undrafted,2012
201591,DJ White,25.0,81,235,2008,2012
201969,DaJuan Summers,24.0,80,240,2009,2012
201161,Daequan Cook,25.0,77,210,2007,2012
2563,Dahntay Jones,31.0,78,225,2003,2012
2863,Damien Wilkins,32.0,78,225,Undrafted,2012
202345,Damion James,24.0,79,225,2010,2012
2429,Dan Gadzuric,34.0,83,240,2002,2012
200789,Daniel Gibson,26.0,74,200,2006,2012
202350,Daniel Orton,21.0,82,255,2010,2012
201568,Danilo Gallinari,23.0,82,225,2008,2012
101122,Danny Granger,29.0,80,228,2005,2012
201980,Danny Green,25.0,78,210,2009,2012
201967,Dante Cunningham,25.0,80,230,2009,2012
202359,Darington Hobson,24.0,79,210,2010,2012
202721,Darius Morris,21.0,76,190,2011,2012
2545,Darko Milicic,27.0,84,275,2003,2012
201954,Darren Collison,24.0,72,160,2009,2012
201208,Darryl Watkins,27.0,83,258,Undrafted,2012
101135,David Lee,29.0,81,240,2005,2012
2561,David West,31.0,81,240,2003,2012
201599,DeAndre Jordan,23.0,83,265,2008,2012
202732,DeAndre Liggins,24.0,78,209,2011,2012
201971,DeJuan Blair,23.0,79,270,2009,2012
201942,DeMar DeRozan,22.0,79,216,2009,2012
202326,DeMarcus Cousins,21.0,83,270,2010,2012
201960,DeMarre Carroll,25.0,80,212,2009,2012
2205,DeSagana Diop,30.0,84,280,2001,2012
2052,DeShawn Stevenson,31.0,77,218,2000,2012
2753,Delonte West,28.0,75,180,2004,2012
202862,Dennis Horner,24.0,81,230,Undrafted,2012
965,Derek Fisher,37.0,73,210,1996,2012
101114,Deron Williams,28.0,75,209,2005,2012
201974,Derrick Brown,24.0,80,233,2009,2012
201182,Derrick Byars,28.0,79,220,2007,2012
202324,Derrick Favors,20.0,82,248,2010,2012
201565,Derrick Rose,23.0,75,190,2008,2012
202682,Derrick Williams,21.0,80,241,2011,2012
202365,Devin Ebanks,22.0,81,215,2010,2012
