PLAYER_ID,PLAYER_NAME,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,DRAFT_YEAR,SEASON_1
243,Aaron McKie,33.0,77,209,1994,2010
101223,Aaron Miles,23.0,73,190,Undrafted,2010
1425,Aaron Williams,34.0,81,235,Undrafted,2010
1502,Adonal Foyle,31.0,82,270,1997,2010
1559,Adrian Griffin,31.0,77,230,Undrafted,2010
1733,Al Harrington,26.0,81,245,1998,2010
2744,Al Jefferson,21.0,82,265,2004,2010
101187,Alan Anderson,23.0,78,220,Undrafted,2010
673,Alan Henderson,33.0,81,240,1995,2010
101165,Alex Acker,23.0,77,185,2005,2010
2637,Alex Scales,27.0,76,195,Undrafted,2010
947,Allen Iverson,31.0,72,165,1996,2010
297,Alonzo Mourning,36.0,82,261,1992,2010
1541,Alvin Williams,31.0,77,195,1997,2010
2405,Amar'e Stoudemire,23.0,82,245,2002,2010
101161,Amir Johnson,19.0,81,210,2005,2010
2760,Anderson Varejao,23.0,82,240,2004,2010
101154,Andray Blatche,19.0,83,235,2005,2010
2857,Andre Barrett,24.0,70,173,Undrafted,2010
2738,Andre Iguodala,22.0,78,207,2004,2010
1889,Andre Miller,30.0,74,205,1999,2010
101261,Andre Owens,25.0,76,200,Undrafted,2010
1905,Andrei Kirilenko,25.0,81,225,1999,2010
2804,Andres Nocioni,26.0,79,225,Undrafted,2010
101106,Andrew Bogut,21.0,84,245,2005,2010
101115,Andrew Bynum,18.0,84,275,2005,2010
2740,Andris Biedrins,20.0,83,245,2004,2010
358,Anfernee Hardaway,34.0,79,215,1993,2010
1712,Antawn Jamison,30.0,81,235,1998,2010
1853,Anthony Carter,31.0,74,195,Undrafted,2010
924,Anthony Goldwire,34.0,74,182,1994,2010
101219,Anthony Grundy,27.0,75,185,Undrafted,2010
1533,Anthony Johnson,31.0,75,200,1997,2010
101194,Anthony Roberson,23.0,74,180,Undrafted,2010
952,Antoine Walker,29.0,81,245,1996,2010
101120,Antoine Wright,22.0,79,210,2005,2010
2766,Antonio Burks,26.0,72,195,2004,2010
1498,Antonio Daniels,31.0,76,205,1997,2010
